zip,count,dollars,latitude,longitude
04330,6,300,44.3232,-69.7665
04342,1,25,44.0785,-69.7457
04345,1,10,44.207,-69.7858
04349,1,25,44.4383,-70.0748
04351,1,20,44.358000000000004,-69.867
04358,2,15,44.3953,-69.5804
04364,4,30,44.3229,-69.9576
04401,3,115,44.8242,-68.7918
04416,3,30,44.6015,-68.7768
04426,1,25,45.1877,-69.2045
04444,4,145,44.7411,-68.873
04461,1,10,44.9393,-68.6296
04468,2,20,44.943000000000005,-68.675
04472,1,25,44.5458,-68.7313
04473,6,230,44.8865,-68.7172
04487,1,25,45.4264,-68.1108
04520,3,350,,
04530,11,995,43.9062,-69.8266
04535,1,25,44.0878,-69.6344
04539,1,25,43.9519,-69.4954
04548,2,50,43.8054,-69.7453
04553,1,25,44.0499,-69.5331
04555,2,290,44.0943,-69.4828
04557,1,10,,
04562,1,50,43.7688,-69.815
04573,5,350,43.9462,-69.5516
04578,3,45,44.0074,-69.6826
04605,5,275,44.5548,-68.4121
04606,1,25,44.583,-67.7146
04607,1,25,44.4731,-68.0899
04609,4,300,44.3738,-68.2448
04612,1,50,44.2415,-68.358
04614,3,225,44.4343,-68.5885
04617,2,70,44.3756,-68.7313
04627,1,25,44.233999999999995,-68.6448
04631,2,200,44.92,-67.0074
04645,1,100,44.0561,-68.6206
04650,1,100,44.2847,-68.7058
04652,1,10,44.9043,-67.0408
04654,3,45,44.7215,-67.482
04660,3,120,44.3347,-68.3087
04664,1,50,44.5458,-68.1279
04671,2,35,45.067,-67.1433
04673,1,10,44.3136,-68.6863
04679,3,150,44.2823,-68.3265
04684,1,100,44.4883,-68.5063
04694,1,100,45.1035,-67.4722
04743,2,35,47.0565,-68.2559
04786,1,50,46.7883,-68.1338
04817,1,10,,
04841,1,5,44.1123,-69.1139
04843,3,60,44.2137,-69.0767
04849,5,235,44.3048,-69.0824
04855,2,75,44.0322,-69.148
04860,3,200,43.9555,-69.2315
04861,2,55,44.0846,-69.1888
04863,2,50,44.0397,-68.8368
04870,1,100,,
04901,2,125,44.5543,-69.6178
04915,6,168,44.4354,-69.0148
04917,1,10,44.4688,-69.8606
04921,1,25,44.5678,-69.1404
04927,1,50,44.644,-69.5284
04935,1,10,44.4141,-69.7519
04937,1,10,44.6463,-69.6802
04938,2,275,44.6653,-70.1329
04947,4,80,44.9854,-70.1832
04952,2,60,44.4107,-69.1471
04956,1,10,44.7967,-70.122
04966,2,20,44.8375,-70.3601
04988,1,10,44.6007,-69.3328
05001,5,250,43.6722,-72.3813
05021,1,10,,
05030,1,50,43.4107,-72.4298
05031,1,10,43.6576,-72.5459
05033,1,11,44.0006,-72.1406
05041,2,30,43.9553,-72.5487
