zip,dollars,timestamp,date,city,state,latitude,longitude
90807,10,"",6/19/14,Long Beach,CA,33.8315,-118.1811
07303,50,"",7/13/14,Long Beach,CA,40.7328,-74.0755
95650,25,"",7/3/14,Loomis,0,38.8071,-121.1698
90017,500,"",6/5/14,Los Angeles,0,34.0559,-118.2666
"",5,"",6/13/14,Los Angeles,0,"",""
22919,100,"",5/7/14,Lovingston,0,"",""
22919,50,"",7/4/14,Lovingston,0,"",""
01954,25,"",5/6/14,Lowell,0,"",""
27571,10,"",7/4/14,L̦vestad,0,35.9156,-78.4658
"",100,"",7/2/14,South Hadley,MA,"",""
"",100,"",5/15/14,Acton,MA,"",""
"",50,"",6/27/14,Shrewsbury,MA,"",""
"",50,"",7/4/14,Wayland,MA,"",""
"",25,"",5/19/14,Cambridge,MA,"",""
"",25,"",7/4/14,Cambridge,MA,"",""
"",25,"",7/4/14,Florence,MA,"",""
"",20,"",5/10/14,Haverhill,MA,"",""
02072,10,"",7/7/14,Stoughton,MA,42.1253,-71.1074
21540,100,"",5/6/14,Maalot,0,39.4774,-79.0594
21540,100,"",7/4/14,Maalot,0,39.4774,-79.0594
"",25,"",7/4/14,Maastricht,0,"",""
00000,25,"",7/4/14,Macroom,0,"",""
53717,50,"",6/14/14,Madison,0,43.0736,-89.508
28013,100,"",6/30/14,Madrid,0,"",""
28013,75,"",5/5/14,Madrid,0,"",""
55118,15,"",6/27/14,Mainz,0,44.8965,-93.1034
21157,50,"",7/4/14,Malm̦,0,39.5642,-76.9807
21113,10,"",7/2/14,Malm̦,0,39.0762,-76.6996
06250,100,"",6/30/14,Mansfield Cent,0,41.7698,-72.2011
30000,5,"",7/4/14,Marietta,0,"",""
00047,50,"",5/8/14,Marino,0,"",""
00047,25,"",6/17/14,Marino,0,"",""
02110,25,"",7/3/14,Marriottsville,0,42.3576,-71.0514
02110,25,"",7/4/14,Marriottsville,0,42.3576,-71.0514
05871,75,"",7/9/14,Masterton,0,44.6636,-71.9572
"",100,"",7/6/14,MD,0,"",""
"",10,"",6/30/14,MD,0,"",""
"",50,"",6/5/14,ME,0,"",""
05445,50,"",6/13/14,Medford,0,44.3113,-73.228
60160,25,"",7/4/14,melrose park,0,41.9003,-87.8581
94025,100,"",6/20/14,Menlo Park ,0,37.4396,-122.1864
"",100,"",5/15/14,"Mesa, Az 85207",0,"",""
"",100,"",7/4/14,"Mesa, Az 85207",0,"",""
33102,25,"",7/4/14,Miami,0,25.5584,-80.4582
"",10,"",7/3/14,Mich. 48858,0,"",""
"",10,"",6/8/14,Middelharnis,0,"",""
07441,25,"",7/4/14,Milnerton,0,"",""
10600,100,"",6/30/14,"minato, tokyo",0,"",""
10600,50,"",7/4/14,Minatoku Tokyo,0,"",""
"",100,"",7/4/14,Minnesota,MN,"",""
06022,150,"",6/29/14,Miramar,0,41.8513,-72.9283
06022,30,"",7/4/14,Miramar,0,41.8513,-72.9283
50802,100,"",6/16/14,Missoula mt,0,"",""
"",100,"",7/2/14,MN,Roseville,"",""
"",25,"",7/5/14,mn,Circle Pines,"",""
"",50,"",7/4/14,Mobile,AL,"",""
41123,10,"",7/4/14,Modena,0,"",""
53371,100,"",6/19/14,Monona,0,"",""
07042,25,"",7/5/14,Montclair,0,40.8131,-74.2165
92511,25,"",7/1/14,Moreno Valley,0,"",""
95037,5,"",5/9/14,Morgan Hill,0,37.1353,-121.6501
55465,50,"",5/9/14,Mound,0,"",""
"",500,"",7/5/14,MT,0,"",""
"",100,"",7/4/14,Nagoya,0,"",""
00200,10,"",7/4/14,Nairobi,0,"",""
53000,100,"",6/27/14,"Nanning, Guangxi",0,"",""
10954,25,"",7/4/14,Nanu,0,41.0977,-74.0109
03060,150,"",5/5/14,Nashua,0,42.7564,-71.4667
37209,10,"",5/9/14,Nashville,0,36.1546,-86.8602
01760,5,"",6/16/14,Natick,0,42.2875,-71.3574
"",100,"",7/3/14,NC,0,"",""
"",25,"",5/5/14,NC,0,"",""
"",25,"",6/6/14,NC,0,"",""
"",50,"",7/4/14,NE,0,"",""
"",10,"",6/6/14,NE,0,"",""
04260,50,"",7/4/14,New Gloucester,0,43.9608,-70.2974
"",100,"",7/4/14,New Milford,0,"",""
01001,100,"",6/7/14,New York,0,42.0702,-72.6227
01001,100,"",7/5/14,New York,0,42.0702,-72.6227
"",100,"",7/5/14,New York,0,"",""
10276,100,"",7/4/14,New York,0,40.7808,-73.9772
10002,50,"",7/4/14,New York,0,40.7152,-73.9877
"",50,"",5/9/14,New York,0,"",""
01001,50,"",7/3/14,New York,0,42.0702,-72.6227
"",25,"",5/7/14,new york,0,"",""
01024,25,"",7/5/14,new york,0,"",""
"",20,"",6/23/14,New York,0,"",""
10002,20,"",6/18/14,New York,0,40.7152,-73.9877
"",15,"",6/26/14,New York,0,"",""
10002,15,"",6/5/14,New York,0,40.7152,-73.9877
"",10,"",7/4/14,New York,0,"",""
01001,10,"",6/15/14,New York,0,42.0702,-72.6227
"",25,"",7/2/14,New York ,0,"",""
"",25,"",6/29/14,Newburg,0,"",""
02460,150,"",6/26/14,Newton,0,42.352,-71.2084
02460,50,"",7/3/14,Newton,0,42.352,-71.2084
06021,40,"",5/8/14,Newtown,0,42.0282,-73.1041
06021,25,"",7/4/14,Newtown,0,42.0282,-73.1041
"",25,"",7/1/14,NH,0,"",""
"",100,"",7/4/14,NH 03854,0,"",""
